ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2a02:2970:1002::18,dns2.digitalcourage.de.,43847,NbIServ,DE,,,,true,0.97,2020-11-17T18:06:44Z,2020-07-17T22:20:28Z
91.239.100.100,anycast.censurfridns.dk.,198794,Thomas Steen Rasmussen,DK,,9.11.22+dampening,,true,0.97,2020-09-15T12:50:08Z,2020-07-17T22:21:06Z
2001:67c:28a4::,anycast.censurfridns.dk.,198794,Thomas Steen Rasmussen,UA,Oleksandriya,9.11.22+dampening,,true,1.00,2020-11-17T18:08:27Z,2020-07-17T22:21:07Z
89.233.43.71,unicast.censurfridns.dk.,3308,Telia Company AB,DK,Kobenhavn O,9.11.22+dampening,,true,1.00,2020-10-20T11:23:31Z,2020-07-17T22:21:09Z
176.9.93.198,dnsforge.de.,24940,Hetzner Online GmbH,DE,Barsinghausen,PowerDNS Recursor 4.4.0 (built Oct 16 2020 10:13:04 by root@b2375bb60e41),,true,1.00,2020-11-17T18:06:37Z,2020-07-17T22:21:13Z
2a01:4f8:151:34aa::198,dnsforge.de.,24940,Hetzner Online GmbH,DE,,PowerDNS Recursor 4.4.0-alpha2 (built Jul 17 2020 10:42:13 by root@813aa0b409af),,true,1.00,2020-09-02T19:51:34Z,2020-07-17T22:21:13Z
2a01:4f8:141:316d::117,dnsforge.de.,24940,Hetzner Online GmbH,DE,,PowerDNS Recursor 4.4.0-beta1 (built Aug 29 2020 08:40:13 by root@988542d9f8f2),,true,0.99,2020-09-03T03:49:22Z,2020-07-17T22:21:14Z
202.46.34.74,svr74.efeedlink.com.,24413,"ShenZhen Sunrise Technology Co.,Ltd.",CN,Shenzhen,9.11.4-P2-RedHat-9.11.4-16.P2.el7_8.6,,true,0.92,2020-08-09T18:52:28Z,2020-07-19T04:23:39Z
80.80.81.81,,60679,Freedom Registry BV,NL,,Freenom World (www.freenom.world) - use 80.80.80.80 to resolve fast and anonymous,,true,0.96,2020-08-09T16:52:22Z,2020-07-19T04:23:47Z
72.139.50.226,rapideyeconsulting.ca.,812,ROGERS-COMMUNICATIONS,CA,Toronto,9.11.13-RedHat-9.11.13-5.el8_2,,true,0.89,2020-10-20T11:23:20Z,2020-07-19T19:32:12Z
223.5.5.5,public1.alidns.com.,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,,,,false,1.00,2020-11-17T18:07:27Z,2020-07-20T03:31:44Z
208.67.222.222,resolver1.opendns.com.,36692,OPENDNS,US,Wright City,,,true,1.00,2020-11-17T18:07:22Z,2020-07-20T07:20:12Z
208.67.220.220,resolver2.opendns.com.,36692,OPENDNS,US,,,,true,1.00,2020-11-17T18:06:36Z,2020-07-20T07:20:13Z
80.178.170.176,80.178.170.176.adsl.012.net.il.,9116,Partner Communications Ltd.,IL,Hod HaSharon,Microsoft DNS 6.1.7601 (1DB15F75),,false,1.00,2020-09-02T09:50:19Z,2020-07-21T17:40:56Z
80.179.155.145,80.179.155.145.static.hosting.spd.co.il.,9116,Partner Communications Ltd.,IL,,,,false,0.99,2020-09-21T22:51:05Z,2020-07-21T17:42:51Z
103.78.215.212,,131111,PT Mora Telematika Indonesia,ID,Jakarta,,,false,1.00,2020-09-21T06:51:37Z,2020-07-22T02:19:30Z
114.114.115.115,public2.114dns.com.,174,COGENT-174,CN,,,,false,0.94,2020-08-09T11:54:58Z,2020-07-22T07:08:22Z
180.76.76.76,public-dns-a.baidu.com.,38365,"Beijing Baidu Netcom Science and Technology Co., Ltd.",CN,,baidu dns,,false,1.00,2020-10-20T11:23:26Z,2020-07-22T07:08:27Z
199.85.126.10,,397215,ULTRADNS,US,,,,true,1.00,2020-10-20T11:24:06Z,2020-07-22T07:09:22Z
182.19.95.34,mumvfdns.vodafone.ind.in.,55410,Vodafone Idea Ltd,IN,Kozhikode,,,false,0.99,2020-11-17T18:05:54Z,2020-07-23T15:04:16Z
